RespondentID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
Respondent ID,Rainfall Intensity,Seasonal Rainfall Concentration,Stormwater Runoff Speed (Flow Velocity),Subgrade Bearing Capacity (CBR Value),Soil Plasticity Index (PI),Percentage of Fine Particles in Road Material,Side Drain Condition and Functionality,Cross-Drainage Structure Capacity and Condition,Drainage Outlet and Energy Dissipation Provision,Road Longitudinal Gradient (Slope),Road Camber (Cross-Slope) Adequacy,Gravel Wearing Course Thickness,Routine Preventive Maintenance Coverage,Maintenance Budget Adequacy and Allocation
1,5,5,4,5,3,2,5,4,1,2,4,2,5,5
2,5,4,4,3,3,4,4,4,4,1,1,1,4,5
3,5,2,5,4,3,1,4,1,3,1,2,1,5,5
4,5,3,5,3,3,1,4,5,2,1,1,1,5,5
5,5,3,5,5,2,2,4,2,2,1,1,1,5,5
6,4,5,4,3,1,1,3,4,2,1,1,1,4,4
7,4,4,4,4,2,4,5,5,1,2,2,1,5,5
8,5,5,4,5,3,1,4,4,2,2,3,1,4,5
9,5,5,3,4,2,4,3,4,3,3,1,1,4,5
10,5,4,4,5,4,1,5,3,1,3,3,1,5,5
11,2,4,5,3,1,3,5,3,2,2,1,1,4,3
12,5,5,5,1,2,1,4,3,2,1,2,1,5,5
13,5,4,3,4,5,5,4,3,2,2,1,1,5,4
14,5,3,4,4,2,1,5,5,5,2,1,1,5,5
15,4,4,5,3,2,2,5,3,2,1,1,1,4,5
16,4,4,4,5,2,4,4,5,3,2,5,2,5,5
17,4,5,4,5,2,1,5,5,3,1,3,1,4,5
18,5,5,4,4,3,2,3,5,2,2,1,1,4,5
19,4,5,4,5,2,3,3,5,1,1,2,1,5,5
20,4,5,4,3,2,2,3,2,2,1,2,1,4,5
21,5,5,5,3,2,2,2,4,1,4,1,1,5,5
22,4,4,5,5,3,2,3,5,1,3,2,1,4,4
23,5,5,3,5,2,3,4,2,2,1,4,3,5,4
24,4,5,3,5,1,1,3,5,2,3,1,1,4,5
25,4,5,4,5,3,1,4,4,4,1,1,1,4,5
26,5,5,4,5,3,3,3,3,2,2,1,1,5,4
27,5,4,4,5,1,3,5,1,2,3,3,2,5,4
28,5,3,5,4,2,2,4,5,2,2,4,1,4,5
29,5,4,5,4,2,2,5,1,1,1,3,3,4,5
30,3,4,4,4,2,1,4,5,3,1,2,3,3,5
31,5,5,5,4,2,1,3,1,1,2,3,1,5,5
32,4,5,4,3,1,1,3,4,4,2,2,1,5,5
33,4,2,3,1,1,2,3,1,1,1,1,1,5,5
34,5,5,4,5,1,1,3,3,2,1,3,1,5,5
35,5,4,5,3,4,1,4,4,1,2,1,1,5,5
36,5,4,3,5,3,5,2,1,5,5,2,1,5,5
37,5,3,5,4,2,5,3,4,3,2,1,1,5,5
38,3,4,4,4,4,1,4,1,2,1,1,1,4,4
39,5,5,1,4,5,1,4,5,1,1,1,2,3,5
40,4,4,5,3,2,2,2,4,3,1,1,1,4,4
41,3,5,4,5,2,3,4,3,1,4,1,1,4,5
42,5,5,3,5,1,3,4,5,3,1,1,1,5,5
43,3,4,4,3,1,1,3,3,1,1,1,2,5,5
44,5,5,5,3,2,4,5,4,1,1,2,1,3,5
45,4,5,3,5,3,3,5,3,1,2,1,1,3,5
46,5,4,4,4,1,4,3,3,2,3,2,1,5,5
47,5,5,4,5,4,2,5,2,2,3,1,3,5,5
48,5,4,4,5,3,2,5,3,1,1,1,1,5,5
49,5,4,4,4,1,2,3,5,3,1,1,1,5,4
50,4,3,4,3,4,2,4,5,2,1,1,1,3,5
51,5,5,5,3,5,1,5,4,2,3,1,1,4,4
52,5,5,5,5,5,1,4,4,2,3,1,4,5,5
53,5,3,5,2,1,1,3,5,2,2,2,1,5,5
54,5,4,3,3,3,1,4,4,3,2,1,1,2,5
55,5,5,4,3,2,3,3,3,2,3,3,1,5,4
56,5,4,5,3,3,5,4,4,1,1,1,2,5,5
57,3,4,4,5,4,1,5,4,3,4,3,1,5,5
58,4,5,4,5,4,2,4,4,4,2,1,1,4,4
59,3,5,4,4,3,2,2,5,2,1,1,2,5,4
60,4,4,4,3,3,4,5,4,1,2,1,1,5,5
61,4,5,5,4,4,3,3,4,2,1,1,1,5,4
62,5,5,5,4,2,3,2,4,2,1,1,1,5,5
63,5,4,3,4,1,2,5,5,1,3,1,2,3,4
64,4,5,5,4,2,1,4,5,1,1,2,1,5,4
65,5,4,3,3,3,1,5,5,3,2,3,3,5,5
66,5,5,3,5,1,1,4,3,3,1,5,2,5,4
67,4,5,4,4,3,3,2,5,1,2,1,2,5,5
68,5,5,5,3,1,3,4,1,2,1,1,4,5,5
69,3,3,5,4,2,5,5,3,1,2,1,2,4,2
70,5,5,4,5,3,5,1,5,3,3,1,1,5,5
71,5,4,5,5,3,2,4,3,1,1,1,1,4,5
72,5,4,5,5,2,2,4,2,1,2,1,1,5,5
73,2,3,5,5,4,4,2,5,3,1,1,2,5,5
74,5,5,3,3,2,3,4,2,1,3,1,1,5,5
75,5,5,4,3,2,1,3,4,3,4,1,1,5,5
76,5,2,4,5,3,2,4,3,1,3,1,1,5,4
77,5,5,4,2,2,1,3,5,1,1,1,1,5,5
78,4,4,5,5,2,4,5,3,1,1,1,1,5,5
79,4,5,4,5,3,1,5,5,3,1,3,1,5,5
80,3,4,4,5,1,1,5,5,3,2,1,1,5,4
